measurement_id	target	query_argument	nsid_raw	valid_count	invalid_count	total_count
173811475	194.146.106.50	at.	s2.mex	1	0	1
173811475	194.146.106.50	at.	s2.mix	4	0	4
173811475	194.146.106.50	at.	s2.rix	1	0	1
173811475	194.146.106.50	at.	s2.rox	5	0	5
173811475	194.146.106.50	at.	s2.sof	6	0	6
173811475	194.146.106.50	at.	s2.stm	2	0	2
173811475	194.146.106.50	at.	s2.sto	3	0	3
173811475	194.146.106.50	at.	s2.tll	3	0	3
173811475	194.146.106.50	at.	s2.tok	1	0	1
173811475	194.146.106.50	at.	s2.vno	4	0	4
173811475	194.146.106.50	at.	s2.wie	3	0	3
173811475	194.146.106.50	at.	s2.yvr	7	0	7
173811475	194.146.106.50	at.	s2.zrh	3	0	3
173811476	194.0.25.10	at.	nomi83.percipientnetworks.com	0	1	1
173811476	194.0.25.10	at.	tld-all-ams1	2	0	2
173811476	194.0.25.10	at.	tld-all-amx1@53010	4	0	4
173811476	194.0.25.10	at.	tld-all-ber1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-blr1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-buc1@53010	6	0	6
173811476	194.0.25.10	at.	tld-all-bud1@53010	3	0	3
173811476	194.0.25.10	at.	tld-all-fam1@53010	10	0	10
173811476	194.0.25.10	at.	tld-all-gnf1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-lis1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-lju1@53010	3	0	3
173811476	194.0.25.10	at.	tld-all-lon1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-lux1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-mad1@53010	4	0	4
173811476	194.0.25.10	at.	tld-all-mel1@53010	1	0	1
173811476	194.0.25.10	at.	tld-all-mil1@53010	5	0	5
173811476	194.0.25.10	at.	tld-all-par1@53010	4	0	4
173811476	194.0.25.10	at.	tld-all-prs1@53010	2	0	2
173811476	194.0.25.10	at.	tld-all-rig1	7	0	7
173811476	194.0.25.10	at.	tld-all-sto1@53010	6	0	6
173811476	194.0.25.10	at.	tld-all-tam1@53010	2	0	2
173811476	194.0.25.10	at.	tld-all-vnn1@53010	10	0	10
173811476	194.0.25.10	at.	tld-all-waw1@53010	3	0	3
173811477	192.92.125.2	at.	id-02-BRA-06-at	2	0	2
173811477	192.92.125.2	at.	id-02-FRA-05-at	18	0	18
173811477	192.92.125.2	at.	id-02-IX-02-at	27	0	27
173811477	192.92.125.2	at.	id-02-LON-10-at	2	0	2
173811477	192.92.125.2	at.	id-02-PRG-15-at	4	0	4
173811477	192.92.125.2	at.	id-02-STO-03-at	7	0	7
173811477	192.92.125.2	at.	id-02-STR-11-at	14	0	14
173811477	192.92.125.2	at.	id-02-SYD-16-at	3	0	3
173811477	192.92.125.2	at.	nomi83.percipientnetworks.com	0	1	1
