measurement_id	cctld	nameserver	target	query_argument	nsid_raw	count	classification_status	city	country_code	region_class	classification_confidence	classification_method	matched_rule_priority	matched_rule_pattern	classification_note
173811466	.de	n.de.net	194.146.107.6	de.	s3.del	1	classified	Delhi	IN	Other non EU	high	regex	90	^s[23]\.del$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.dex	8	classified	Frankfurt	DE	EU	medium	regex	90	^s[23]\.dex$	DE CIX style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.fix	1	classified	Helsinki	FI	EU	medium	regex	90	^s[23]\.fix$	Finnish exchange style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.hel	1	classified	Helsinki	FI	EU	high	regex	90	^s[23]\.hel$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.jak	2	classified	Jakarta	ID	Other non EU	high	regex	90	^s[23]\.jak$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.lju	3	classified	Ljubljana	SI	EU	high	regex	90	^s[23]\.lju$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.lnx	1	classified	London	GB	UK	medium	regex	90	^s[23]\.lnx$	LINX shorthand
173811466	.de	n.de.net	194.146.107.6	de.	s3.lon	1	classified	London	GB	UK	high	regex	90	^s[23]\.lon$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.lux	1	classified	Luxembourg	LU	EU	high	regex	90	^s[23]\.lux$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.mex	1	classified	Mexico City	MX	Other non EU	high	regex	90	^s[23]\.mex$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.mix	4	classified	Milan	IT	EU	medium	regex	90	^s[23]\.mix$	Milan exchange style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.rix	1	classified	Riga	LV	EU	high	regex	90	^s[23]\.rix$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.rox	5	classified	Bucharest	RO	EU	medium	regex	90	^s[23]\.rox$	Romanian exchange style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.sof	6	classified	Sofia	BG	EU	high	regex	90	^s[23]\.sof$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.stm	1	classified	Stockholm	SE	EU	medium	regex	90	^s[23]\.stm$	Stockholm style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.sto	4	classified	Stockholm	SE	EU	high	regex	90	^s[23]\.sto$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.tll	3	classified	Tallinn	EE	EU	high	regex	90	^s[23]\.tll$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.tok	1	classified	Tokyo	JP	Other non EU	high	regex	90	^s[23]\.tok$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.vno	4	classified	Vilnius	LT	EU	high	regex	90	^s[23]\.vno$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.wie	3	classified	Vienna	AT	EU	medium	regex	90	^s[23]\.wie$	Wien style label
173811466	.de	n.de.net	194.146.107.6	de.	s3.yvr	7	classified	Vancouver	CA	Other non EU	high	regex	90	^s[23]\.yvr$	City code in shared operator label
173811466	.de	n.de.net	194.146.107.6	de.	s3.zrh	4	classified	Zurich	CH	CH	high	regex	90	^s[23]\.zrh$	City code in shared operator label
